Rank;Full Journal Title;JCR Abbreviated Title;Issn;Total Cites;Journal Impact Factor;Impact Factor without Journal Self Cites;5-Year Impact Factor;Immediacy Index;Citable Items;Cited Half-life;Citing Half-life;Eigenfactor Score;Article Influence Score;% Articles in Citable Items;Average Journal Impact Factor Percentile;Normalized Eigenfactor
43;LANCET INFECTIOUS DISEASES;LANCET INFECT DIS;1473-3099;14,964;21.372;20.596;19.297;6.226;124;4.9;5.2;0.053250;8.444;75.810;99.398;6.06924
44;JOURNAL OF CLINICAL ONCOLOGY;J CLIN ONCOL;0732-183X;141,362;20.982;20.005;18.021;6.854;493;6.8;5.8;0.324870;6.724;87.830;97.887;37.02908
45;BEHAVIORAL AND BRAIN SCIENCES;BEHAV BRAIN SCI;0140-525X;7,873;20.415;20.000;23.842;1.7;10;>10.0;7.9;0.012860;11.186;100.000;98.287;1.46536
45;BEHAVIORAL AND BRAIN SCIENCES;BEHAV BRAIN SCI;0140-525X;7,873;20.415;20.000;23.842;1.7;10;>10.0;7.9;0.012860;11.186;100.000;98.287;1.46536
47;World Psychiatry;WORLD PSYCHIATRY;1723-8617;2,410;20.205;17.359;15.214;5.143;21;4.4;5.4;0.006860;4.631;100.000;99.644;0.78235
47;World Psychiatry;WORLD PSYCHIATRY;1723-8617;2,410;20.205;17.359;15.214;5.143;21;4.4;5.4;0.006860;4.631;100.000;99.644;0.78235
49;Cancer Discovery;CANCER DISCOV;2159-8274;6,602;19.783;19.367;21.246;4.369;84;2.7;4.8;0.047060;10.622;88.100;97.418;5.36441
50;BMJ-British Medical Journal;BMJ-BRIT MED J;1756-1833;93,118;19.697;18.249;17.687;9.288;250;>10.0;4.7;0.162040;7.430;71.200;97.742;18.46891
51;NATURE IMMUNOLOGY;NAT IMMUNOL;1529-2908;36,446;19.381;18.868;23.358;5.325;126;6.9;5.5;0.113570;11.625;84.920;97.682;12.94420
52;Living Reviews in Solar Physics;LIVING REV SOL PHYS;1614-4961;926;19.333;19.111;19.889;0.286;7;5.5;>10.0;0.004720;11.566;0.000;97.581;0.53828
53;Psychological Science in the Public Interest;PSYCHOL SCI PUBL INT;1529-1006;858;19.286;19.286;Not Available;1.0;3;6.1;8.0;0.003040;Not Available;100.000;99.612;0.34701
54;Annual Review of Psychology;ANNU REV PSYCHOL;0066-4308;14,292;19.085;19.000;24.025;5.848;33;>10.0;8.0;0.019900;11.151;0.000;99.090;2.26796
54;Annual Review of Psychology;ANNU REV PSYCHOL;0066-4308;14,292;19.085;19.000;24.025;5.848;33;>10.0;8.0;0.019900;11.151;0.000;99.090;2.26796
56;ADVANCED MATERIALS;ADV MATER;0935-9648;141,386;18.960;17.939;18.862;3.325;988;5.1;4.5;0.326160;5.047;96.760;97.911;37.17570
57;Nature Physics;NAT PHYS;1745-2473;24,452;18.791;18.494;20.042;6.647;153;5.0;5.8;0.129810;12.073;96.730;98.101;14.79609
58;Nature Reviews Clinical Oncology;NAT REV CLIN ONCOL;1759-4774;5,447;18.786;18.466;16.376;4.184;49;3.7;5.3;0.028060;6.397;26.530;96.948;3.19791
59;NATURE CELL BIOLOGY;NAT CELL BIOL;1465-7392;35,807;18.699;18.398;20.001;3.932;133;7.3;6.3;0.104400;10.197;95.490;97.059;11.89901
60;Nature Reviews Neurology;NAT REV NEUROL;1759-4758;5,336;18.418;18.155;17.358;3.404;52;3.6;5.7;0.027620;6.666;13.460;99.223;3.14811
61;PHARMACOLOGICAL REVIEWS;PHARMACOL REV;0031-6997;11,737;18.393;18.197;22.796;3.067;30;>10.0;8.7;0.017810;7.749;0.000;99.412;2.03025
62;GASTROENTEROLOGY;GASTROENTEROLOGY;0016-5085;67,726;18.187;17.419;15.417;4.494;241;8.1;5.9;0.131720;5.674;92.120;99.367;15.01369
63;ADVANCES IN PHYSICS;ADV PHYS;0001-8732;5,030;18.000;17.900;24.971;3.833;6;>10.0;8.5;0.005940;11.556;0.000;96.269;0.67725
64;TRENDS IN COGNITIVE SCIENCES;TRENDS COGN SCI;1364-6613;21,382;17.850;17.283;23.872;2.444;72;8.6;5.8;0.047190;10.507;0.000;98.498;5.37874
64;TRENDS IN COGNITIVE SCIENCES;TRENDS COGN SCI;1364-6613;21,382;17.850;17.283;23.872;2.444;72;8.6;5.8;0.047190;10.507;0.000;98.498;5.37874
66;Materials Today;MATER TODAY;1369-7021;6,389;17.793;17.695;13.623;4.25;40;5.5;4.5;0.015000;4.151;90.000;97.970;1.71025
67;JOURNAL OF THE AMERICAN COLLEGE OF CARDIOLOGY;J AM COLL CARDIOL;0735-1097;84,932;17.759;16.604;15.776;4.255;381;7.1;5.2;0.214600;6.436;82.680;99.597;24.46024
68;Cell Metabolism;CELL METAB;1550-4131;21,343;17.303;16.791;17.897;3.353;156;4.6;5.8;0.088610;8.288;82.690;98.074;10.10032
69;CIRCULATION;CIRCULATION;0009-7322;155,582;17.202;16.571;16.252;4.364;368;>10.0;6.7;0.269200;6.833;98.640;98.998;30.68353
70;Nature Climate Change;NAT CLIM CHANGE;1758-678X;9,526;17.184;16.398;19.257;4.287;150;2.6;4.6;0.067510;9.704;94.000;99.419;7.69432
70;Nature Climate Change;NAT CLIM CHANGE;1758-678X;9,526;17.184;16.398;19.257;4.287;150;2.6;4.6;0.067510;9.704;94.000;99.419;7.69432
72;PROGRESS IN ENERGY AND COMBUSTION SCIENCE;PROG ENERG COMBUST;0360-1285;7,884;16.784;16.649;23.634;5.059;17;7.9;8.5;0.012430;7.340;0.000;98.986;1.41693
73;TRENDS IN ECOLOGY & EVOLUTION;TRENDS ECOL EVOL;0169-5347;30,421;16.735;16.218;19.417;2.958;72;>10.0;5.7;0.048680;8.653;54.170;99.025;5.54851
74;NATURE NEUROSCIENCE;NAT NEUROSCI;1097-6256;51,112;16.724;16.245;16.874;4.1;221;7.8;6.6;0.154680;9.141;91.400;98.633;17.63094
75;ANNALS OF INTERNAL MEDICINE;ANN INTERN MED;0003-4819;49,618;16.593;16.031;16.026;5.677;164;9.9;5.5;0.095830;7.775;72.560;97.097;10.92226
76;Annual Review of Condensed Matter Physics;ANNU REV CONDEN MA P;1947-5454;1,486;16.379;16.379;16.800;7.889;18;3.6;Not Available;0.013240;10.944;0.000;94.776;1.50918
77;Lancet Diabetes & Endocrinology;LANCET DIABETES ENDO;2213-8587;2,026;16.320;16.049;16.330;4.373;75;1.5;5.1;0.011290;7.245;74.670;98.872;1.28632
78;Science Translational Medicine;SCI TRANSL MED;1946-6234;17,066;16.264;16.035;15.051;3.129;256;3.2;5.5;0.114890;7.208;97.270;97.390;13.09485
79;PHYSICS REPORTS-REVIEW SECTION OF PHYSICS LETTERS;PHYS REP;0370-1573;22,898;16.240;16.104;22.124;5.724;58;>10.0;10.0;0.030420;9.624;0.000;96.835;3.46700
80;CLINICAL MICROBIOLOGY REVIEWS;CLIN MICROBIOL REV;0893-8512;14,832;16.187;16.000;21.947;3.636;33;>10.0;8.1;0.020080;7.811;0.000;98.780;2.28896
81;Annual Review of Physiology;ANNU REV PHYSIOL;0066-4278;8,496;15.754;15.754;18.107;3.52;25;>10.0;Not Available;0.015360;7.754;4.000;98.193;1.75080
82;ADVANCED DRUG DELIVERY REVIEWS;ADV DRUG DELIVER REV;0169-409X;29,225;15.606;15.401;17.214;2.224;156;7.5;6.4;0.041520;4.223;0.000;99.020;4.73193
83;Nature Reviews Endocrinology;NAT REV ENDOCRINOL;1759-5029;4,758;15.432;15.207;14.125;3.75;52;3.5;6.2;0.022570;5.200;11.540;98.120;2.57267
84;Lancet Respiratory Medicine;LANCET RESP MED;2213-2600;2,343;15.328;14.901;15.328;4.91;67;1.7;4.5;0.012000;6.055;74.630;98.811;1.36726
85;Advanced Energy Materials;ADV ENERGY MATER;1614-6832;15,724;15.230;14.373;16.757;3.451;379;2.6;3.7;0.057520;4.444;96.570;96.641;6.55664
86;EUROPEAN HEART JOURNAL;EUR HEART J;0195-668X;43,381;15.064;13.931;15.736;5.76;287;5.3;5.3;0.129610;5.899;85.020;97.984;14.77330
87;EUROPEAN UROLOGY;EUR UROL;0302-2838;23,702;14.976;13.624;12.489;4.734;218;4.7;4.9;0.064580;3.980;80.280;99.351;7.36108
88;GUT;GUT;0017-5749;35,914;14.921;14.342;13.128;4.882;187;8.8;5.9;0.064970;4.575;98.400;98.101;7.40534
89;ENDOCRINE REVIEWS;ENDOCR REV;0163-769X;12,433;14.898;14.735;18.154;2.217;23;>10.0;8.2;0.012610;6.416;0.000;97.368;1.43762
90;PSYCHOLOGICAL BULLETIN;PSYCHOL BULL;0033-2909;39,345;14.839;14.701;21.971;1.85;40;>10.0;9.9;0.032040;10.336;85.000;98.044;3.65230
90;PSYCHOLOGICAL BULLETIN;PSYCHOL BULL;0033-2909;39,345;14.839;14.701;21.971;1.85;40;>10.0;9.9;0.032040;10.336;85.000;98.044;3.65230
92;CELL RESEARCH;CELL RES;1001-0602;10,393;14.812;14.519;12.393;3.093;75;5.0;6.2;0.035850;5.065;97.330;95.455;4.08618
93;Annual Review of Pharmacology and Toxicology;ANNU REV PHARMACOL;0362-1642;7,434;14.769;14.712;18.088;4.871;31;>10.0;6.1;0.010870;6.362;0.000;99.036;1.23912
94;Lancet Global Health;LANCET GLOB HEALTH;2214-109X;1,379;14.722;14.264;14.833;5.228;57;1.6;4.5;0.008420;7.731;100.000;99.692;0.95942
94;Lancet Global Health;LANCET GLOB HEALTH;2214-109X;1,379;14.722;14.264;14.833;5.228;57;1.6;4.5;0.008420;7.731;100.000;99.692;0.95942
96;Nature Reviews Gastroenterology & Hepatology;NAT REV GASTRO HEPAT;1759-5045;4,337;14.435;14.153;13.181;2.755;53;3.3;5.5;0.020210;4.561;11.320;96.835;2.30341
97;JAMA Psychiatry;JAMA PSYCHIAT;2168-622X;4,034;14.417;14.049;14.441;3.72;118;2.0;7.1;0.021580;5.778;99.150;98.932;2.46019
97;JAMA Psychiatry;JAMA PSYCHIAT;2168-622X;4,034;14.417;14.049;14.441;3.72;118;2.0;7.1;0.021580;5.778;99.150;98.932;2.46019
99;Applied Physics Reviews;APPL PHYS REV;1931-9401;458;14.310;14.138;14.310;1.29;31;1.5;8.6;0.002830;6.458;0.000;96.207;0.32280
100;Annual Review of Neuroscience;ANNU REV NEUROSCI;0147-006X;13,125;14.265;14.204;22.563;3.0;21;>10.0;7.6;0.020680;11.493;0.000;98.242;2.35736
101;MICROBIOLOGY AND MOLECULAR BIOLOGY REVIEWS;MICROBIOL MOL BIOL R;1092-2172;10,208;14.167;14.063;18.952;2.364;22;>10.0;8.4;0.014650;7.749;0.000;97.967;1.66966
102;JAMA Internal Medicine;JAMA INTERN MED;2168-6106;5,590;14.000;13.470;14.063;5.331;148;1.9;6.0;0.039690;7.906;89.860;96.452;4.52428
103;NEURON;NEURON;0896-6273;78,507;13.974;13.169;16.092;2.927;385;8.3;6.8;0.222230;8.421;80.000;97.852;25.32961
104;MOLECULAR CELL;MOL CELL;1097-2765;53,714;13.958;13.493;14.708;3.1;329;7.2;5.7;0.192560;8.483;91.790;96.854;21.94835
105;STUDIES IN MYCOLOGY;STUD MYCOL;0166-0616;1,932;13.889;13.185;12.898;1.071;14;7.2;>10.0;0.003560;3.989;100.000;98.276;0.40565
106;NANO LETTERS;NANO LETT;1530-6984;129,399;13.779;12.889;14.867;2.177;1,260;5.1;5.2;0.367140;4.868;100.000;95.852;41.84616
107;FEMS MICROBIOLOGY REVIEWS;FEMS MICROBIOL REV;0168-6445;9,277;13.687;13.614;14.376;2.157;51;7.9;7.6;0.018330;5.362;0.000;97.154;2.08881
108;MOLECULAR BIOLOGY AND EVOLUTION;MOL BIOL EVOL;0737-4038;38,486;13.649;13.211;13.002;1.848;264;6.9;7.2;0.103310;5.016;99.240;97.691;11.77505
109;Light-Science & Applications;LIGHT-SCI APPL;2047-7538;1,724;13.600;13.367;13.757;2.797;69;2.0;5.7;0.007660;4.564;92.750;98.333;0.87317
110;PLOS MEDICINE;PLOS MED;1549-1676;20,499;13.585;13.309;15.333;2.722;97;6.3;4.7;0.061900;6.985;92.780;95.806;7.05577
111;Annual Review of Entomology;ANNU REV ENTOMOL;0066-4170;10,622;13.534;13.379;14.493;4.656;32;>10.0;9.5;0.010720;5.211;0.000;99.468;1.22156
112;Annual Review of Physical Chemistry;ANNU REV PHYS CHEM;0066-426X;8,077;13.527;13.527;15.610;4.806;31;9.2;Not Available;0.014050;6.832;0.000;96.875;1.60158
113;AMERICAN JOURNAL OF PSYCHIATRY;AM J PSYCHIAT;0002-953X;41,752;13.505;13.187;15.298;3.402;92;>10.0;6.6;0.046540;5.658;86.960;98.220;5.30519
113;AMERICAN JOURNAL OF PSYCHIATRY;AM J PSYCHIAT;0002-953X;41,752;13.505;13.187;15.298;3.402;92;>10.0;6.6;0.046540;5.658;86.960;98.220;5.30519
115;NATURE STRUCTURAL & MOLECULAR BIOLOGY;NAT STRUCT MOL BIOL;1545-9993;25,671;13.338;13.105;11.681;3.819;127;6.8;6.4;0.103970;7.489;96.060;97.262;11.85012
116;ACS Nano;ACS NANO;1936-0851;97,676;13.334;12.559;14.486;2.305;1,268;3.7;5.1;0.356820;4.111;99.050;96.056;40.67056
117;MOLECULAR PSYCHIATRY;MOL PSYCHIATR;1359-4184;15,797;13.314;12.774;13.274;2.892;167;5.6;6.7;0.044400;4.877;86.830;97.582;5.06037
118;Annual Review of Marine Science;ANNU REV MAR SCI;1941-1405;2,559;13.214;12.952;15.958;3.542;24;4.2;>10.0;0.013880;7.777;0.000;99.361;1.58182
119;PROGRESS IN NEUROBIOLOGY;PROG NEUROBIOL;0301-0082;11,877;13.177;13.115;11.181;1.318;44;9.7;8.4;0.020310;3.730;0.000;97.070;2.31462
120;Nano Today;NANO TODAY;1748-0132;5,428;13.157;12.988;19.098;1.925;40;4.7;4.4;0.015050;5.129;17.500;95.286;1.71528
121;AMERICAN JOURNAL OF RESPIRATORY AND CRITICAL CARE MEDICINE;AM J RESP CRIT CARE;1073-449X;53,045;13.118;11.754;11.946;3.548;239;9.3;5.5;0.092320;4.311;97.070;96.434;10.52317
122;JOURNAL OF THE AMERICAN CHEMICAL SOCIETY;J AM CHEM SOC;0002-7863;504,778;13.038;12.104;12.376;2.831;2,379;8.0;6.4;0.794640;3.525;100.000;94.172;90.57295
123;COORDINATION CHEMISTRY REVIEWS;COORDIN CHEM REV;0010-8545;29,743;12.994;12.631;13.074;4.619;160;8.7;8.0;0.036380;3.187;0.000;98.913;4.14701
124;REPORTS ON PROGRESS IN PHYSICS;REP PROG PHYS;0034-4885;12,755;12.933;12.866;15.463;4.652;46;8.9;8.5;0.033440;7.759;0.000;95.570;3.81173
125;TRENDS IN BIOCHEMICAL SCIENCES;TRENDS BIOCHEM SCI;0968-0004;15,491;12.810;12.714;13.026;3.841;69;>10.0;5.1;0.031870;6.057;0.000;97.405;3.63302
126;Annual Review of Cell and Developmental Biology;ANNU REV CELL DEV BI;1081-0706;8,992;12.755;12.673;19.319;0.182;33;>10.0;6.7;0.020570;10.075;0.000;96.315;2.34448
127;Nature Chemical Biology;NAT CHEM BIOL;1552-4450;15,361;12.709;12.402;13.059;3.656;128;5.2;6.0;0.060840;6.286;96.880;97.059;6.93415
128;Advances in Organometallic Chemistry;ADV ORGANOMET CHEM;0065-3055;829;12.625;12.500;9.533;0.875;8;>10.0;5.5;0.000580;2.558;0.000;97.946;0.06613
129;JOURNAL OF CLINICAL INVESTIGATION;J CLIN INVEST;0021-9738;101,063;12.575;12.391;13.785;3.016;375;>10.0;6.4;0.184750;5.942;87.470;97.984;21.05770
130;Cell Host & Microbe;CELL HOST MICROBE;1931-3128;10,638;12.552;12.180;12.944;3.698;129;4.0;5.2;0.052150;6.202;90.700;97.812;5.94363
131;Nature Geoscience;NAT GEOSCI;1752-0894;14,574;12.508;12.230;13.775;2.796;157;4.5;6.8;0.084460;7.527;98.090;99.728;9.62702
132;TRENDS IN NEUROSCIENCES;TRENDS NEUROSCI;0166-2236;18,656;12.504;12.326;13.470;2.464;69;>10.0;5.9;0.030120;5.928;0.000;96.680;3.43318
133;JOURNAL OF ALLERGY AND CLINICAL IMMUNOLOGY;J ALLERGY CLIN IMMUN;0091-6749;41,392;12.485;10.619;11.476;3.27;311;6.5;5.9;0.085270;3.522;97.430;97.510;9.71858
134;ANNALS OF THE RHEUMATIC DISEASES;ANN RHEUM DIS;0003-4967;35,393;12.384;11.673;9.999;3.711;311;5.9;6.9;0.075720;2.968;94.860;98.438;8.63033
135;Advances in Optics and Photonics;ADV OPT PHOTONICS;1943-8206;1,072;12.368;12.263;13.400;2.6;15;4.9;8.2;0.003650;5.364;73.330;97.222;0.41610
136;Annual Review of Fluid Mechanics;ANNU REV FLUID MECH;0066-4189;8,878;12.333;12.156;15.288;4.917;24;>10.0;>10.0;0.015160;8.495;0.000;98.981;1.72776
137;Annual Review of Genetics;ANNU REV GENET;0066-4197;7,166;12.235;12.137;16.738;0.2;30;8.7;6.4;0.017080;9.258;0.000;97.289;1.94677
138;Annual Review of Clinical Psychology;ANNU REV CLIN PSYCHO;1548-5943;3,653;12.214;12.214;15.462;2.438;16;5.9;Not Available;0.010960;6.088;100.000;98.150;1.24876
138;Annual Review of Clinical Psychology;ANNU REV CLIN PSYCHO;1548-5943;3,653;12.214;12.214;15.462;2.438;16;5.9;Not Available;0.010960;6.088;100.000;98.150;1.24876
140;JOURNAL OF PHOTOCHEMISTRY AND PHOTOBIOLOGY C-PHOTOCHEMISTRY REVIEWS;J PHOTOCH PHOTOBIO C;1389-5567;2,927;12.162;11.973;15.268;1.619;21;7.2;8.0;0.004420;3.560;4.760;95.486;0.50324
141;ASTRONOMY AND ASTROPHYSICS REVIEW;ASTRON ASTROPHYS REV;0935-4956;1,315;12.136;12.045;14.020;2.857;7;5.7;7.4;0.005770;7.785;14.290;95.968;0.65751
142;LEUKEMIA;LEUKEMIA;0887-6924;22,423;12.104;11.477;9.850;2.754;228;6.2;6.0;0.063000;3.986;90.350;97.882;7.18027
143;TRENDS IN BIOTECHNOLOGY;TRENDS BIOTECHNOL;0167-7799;11,974;12.065;11.727;12.052;2.288;73;7.7;4.1;0.019210;3.509;0.000;98.447;2.18981
144;BLOOD;BLOOD;0006-4971;158,083;11.847;10.921;10.235;2.674;728;7.5;6.3;0.350640;3.888;87.910;97.857;39.96541
145;TRENDS IN PHARMACOLOGICAL SCIENCES;TRENDS PHARMACOL SCI;0165-6147;10,682;11.840;11.695;10.115;2.622;74;8.0;5.1;0.018780;3.402;0.000;98.235;2.14054
146;HEPATOLOGY;HEPATOLOGY;0270-9139;60,117;11.711;11.150;11.854;3.8;345;7.0;5.6;0.116840;3.823;96.230;95.570;13.31738
147;ANGEWANDTE CHEMIE-INTERNATIONAL EDITION;ANGEW CHEM INT EDIT;1433-7851;263,526;11.709;10.778;12.111;2.937;2,629;5.8;5.8;0.551120;3.431;96.770;93.558;62.81670
148;Annual Review of Biophysics;ANNU REV BIOPHYS;1936-122X;2,310;11.625;11.604;12.658;1.4;15;5.0;6.4;0.012280;6.765;0.000;97.917;1.39928
149;Alzheimers & Dementia;ALZHEIMERS DEMENT;1552-5260;7,019;11.619;10.929;13.938;2.489;135;3.8;6.2;0.027750;4.520;88.150;98.705;3.16300
150;Nano Energy;NANO ENERGY;2211-2855;6,968;11.553;10.512;12.272;2.875;488;1.9;3.9;0.017930;2.624;95.290;94.780;2.04412
151;CIRCULATION RESEARCH;CIRC RES;0009-7330;47,491;11.551;10.902;11.218;4.084;237;8.9;6.4;0.085030;4.174;75.950;97.075;9.69214
152;TRENDS IN CELL BIOLOGY;TRENDS CELL BIOL;0962-8924;11,479;11.532;11.442;11.453;3.987;75;7.1;5.1;0.032440;5.431;0.000;93.316;3.69795
153;REVIEWS OF GEOPHYSICS;REV GEOPHYS;8755-1209;8,280;11.444;11.028;16.097;1.586;29;>10.0;>10.0;0.011540;8.205;0.000;98.148;1.31534
154;TRENDS IN IMMUNOLOGY;TRENDS IMMUNOL;1471-4906;9,274;11.433;11.206;10.474;3.014;70;6.9;5.0;0.024510;4.490;0.000;96.358;2.79368
155;ADVANCED FUNCTIONAL MATERIALS;ADV FUNCT MATER;1616-301X;58,245;11.382;10.952;11.774;2.396;770;4.5;4.7;0.141640;3.089;100.000;93.234;16.14365
